StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q25,Q27,Q29,Q31,Q33,Q35,Q37,Q39,Q41,Q43,covid_screen_1,covid_screen_2,covid_screen_3,covid_screen_4,covid_screen_5,covid_screen_6,covid_screen_7,covid_screen_8,covid_screen_9,covid_screen_10,covid_screen_11,covid_screen_12,covid_screen_13,covid_screen_14,covid_screen_15,covid_screen_16,eat,alcohol,meds,gender,age,Q15,Q16,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
3/6/2020 13:50,3/6/2020 14:03,IP Address,139.184.128.132,100,752,TRUE,3/6/2020 14:03,R_24i0K0gHdYs7CBL,,,,,50.86120605,-0.119400024,anonymous,EN,3044,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,19,14,4.5,3-4 times per week,1-2 times per week,1-2 times per week,3-4 times per week,Yes,I don't remember,,1 time per month or less,1 time per month or less,"TOO YOUNG, DIDN'T WANT ALCOHOL BUT WANTED THE TASTE",NO ALCOHOL,DIDN'T TASTE QUITE THE SAME
3/6/2020 13:50,3/6/2020 14:04,IP Address,139.184.128.82,100,834,TRUE,3/6/2020 14:04,R_3m8BlEx62E0B7S6,,,,,50.86120605,-0.119400024,anonymous,EN,6043,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,23,7.3,4.6,3-4 times per week,1-2 times per week,1 time per month or less,2-3 times per month,Yes,about the same,,1 time per month or less,NEVER,tried it once to compare the taste as I got one free from work,it tastes the same as beer and in a similar style bottle but without the alcohol allows you to enjoy it in a drinking environment without feeling 'left out'.,"that it didn't have alcohol in it, as I enjoy the taste of beer but not enough to drink it without the alcoholic effects"
3/10/2020 13:50,3/10/2020 14:09,IP Address,139.184.128.82,100,1125,TRUE,3/10/2020 14:09,R_2RVcWox0Vj4Jwlm,,,,,50.84289551,-0.11579895,anonymous,EN,6045,Yes,No,No,Yes,No,No,No,No,5-Mar,Yes,,,,,,,,,,,,,,,,,,,,male,19,10,3,1-2 times per week,2-3 times per month,2-3 times per month,1-2 times per week,Yes,worse than regular beer,,1 time per month or less,NEVER,"I tried non-alcoholic beer when a friend was drinking it, I would maybe have some myself if I was out with friends but didn't want to actually get drunk",I think low/no-alcohol substitutes are good because they allow people to involve themselves in going out and having a few drinks without the need to consume alcohol,I don't think it tastes as good as regular beer
3/10/2020 13:51,3/10/2020 14:21,IP Address,139.184.128.132,100,1788,TRUE,3/10/2020 14:21,R_1r6TNt8n2rvb0X3,,,,,50.86120605,-0.119400024,anonymous,EN,1046,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,21,8,6,3-4 times per week,1-2 times per week,1-2 times per week,1 time per month or less,Yes,worse than regular beer,,2-3 times per month,1 time per month or less,"I was accompanying someone who does not drink alcohol, so I joined them in having non-alcoholic beer multiple times",Taste and refreshingness,It felt like it lacked something
3/10/2020 14:42,3/10/2020 14:47,IP Address,139.184.128.82,100,262,TRUE,3/10/2020 14:47,R_1FKQ8rCgIjZxJI4,,,,,50.86120605,-0.119400024,anonymous,EN,4047,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,7,2.6,1-2 times per week,2-3 times per month,1 time per month or less,3-4 times per week,Yes,about the same,,1 time per month or less,NEVER,my parents sometimes but it in summer ,i found it neutral ,i found it neutral 
3/10/2020 14:52,3/10/2020 15:03,IP Address,139.184.128.132,100,652,TRUE,3/10/2020 15:03,R_1GZm3b3ot5xoQpi,,,,,50.86120605,-0.119400024,anonymous,EN,5048,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,4.6,2.3,2-3 times per month,1 time per month or less,1 time per month or less,1 time per month or less,Yes,about the same,,1 time per month or less,1 time per month or less,to try the taste,it was refreshing,it was a bit too sweet
3/11/2020 14:00,3/11/2020 14:07,IP Address,139.184.128.82,100,412,TRUE,3/11/2020 14:07,R_2qw0fTSWNFz7Z0v,,,,,50.84289551,-0.11579895,anonymous,EN,2049,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,20,20,18,3-4 times per week,1-2 times per week,1 time per month or less,1-2 times per week,Yes,about the same,,1 time per month or less,NEVER,It has been available and I have wanted to try it.,It had a good taste and was an overall nice thing to drink,0 alcohol content
3/11/2020 13:56,3/11/2020 14:21,IP Address,139.184.128.132,100,1465,TRUE,3/11/2020 14:21,R_3k5PoYFea2PPqiQ,,,,,50.86120605,-0.119400024,anonymous,EN,4050,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,8,4.6,3-4 times per week,1-2 times per week,1-2 times per week,2-3 times per month,No,,I don't have any expectations,,,Because you like the taste of beer but don't want to get drunk ,,
3/11/2020 14:33,3/11/2020 14:49,IP Address,139.184.128.82,100,928,TRUE,3/11/2020 14:49,R_2TmXF3GwlXBfGBL,,,,,50.86120605,-0.119400024,anonymous,EN,4051,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,19,6,2.3,1-2 times per week,2-3 times per month,NEVER,2-3 times per month,Yes,worse than regular beer,,NEVER,NEVER,"got drinks out the garage for a game of beer pong and poured non-alcoholic beer in a cup by mistake, thinking it was a regular, alcoholic beer.",all things considered it was almost the game drinking experience.,it just felt like it was missing something.
3/13/2020 13:45,3/13/2020 13:58,IP Address,139.184.128.132,100,753,TRUE,3/13/2020 13:58,R_2w6vjAZEycxhTZy,,,,,50.86120605,-0.119400024,anonymous,EN,1052,Yes,No,No,Yes,No,No,No,No,2,Yes,,,,,,,,,,,,,,,,,,,,female,22,4,2,2-3 times per month,2-3 times per month,2-3 times per month,1-2 times per week,Yes,I don't remember,,NEVER,1 time per month or less,I wanted to taste it to see if it tasted the same as alcoholic beer,tasted the same ,it didnt have alcohol 
3/13/2020 13:46,3/13/2020 14:17,IP Address,139.184.128.82,100,1856,TRUE,3/13/2020 14:17,R_1QLvqjHLxbC51fC,,,,,50.86120605,-0.119400024,anonymous,EN,6053,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,10,2,1-2 times per week,1 time per month or less,1-2 times per week,1-2 times per week,No,,about the same,,,One of the main reasons for drinking beer is the way it makes you feel - more relaxed and easier to socialise.,,
3/13/2020 14:30,3/13/2020 14:41,IP Address,139.184.128.132,100,640,TRUE,3/13/2020 14:41,R_V4NnZAAMi3xIrWF,,,,,50.86120605,-0.119400024,anonymous,EN,6054,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,male,21,16.9,6.9,3-4 times per week,5-6 times per week,2-3 times per month,3-4 times per week,Yes,about the same,,NEVER,NEVER,I would drink non-alcoholic beer to cool off in the summer heat during the day when I don't really want to drink alcohol.,The non-alcoholic beer tastes a bit different but is equally refreshing to regular beer.,There is nothing I don't like about non-alcoholic beer.
3/13/2020 14:51,3/13/2020 14:58,IP Address,139.184.128.82,100,430,TRUE,3/13/2020 14:58,R_1jBT2DB6ruhD5TC,,,,,50.86120605,-0.119400024,anonymous,EN,1055,Yes,No,No,Yes,No,No,No,No,0,Yes,,,,,,,,,,,,,,,,,,,,female,19,9,8,1-2 times per week,1-2 times per week,NEVER,1-2 times per week,No,,about the same,,,I probably wouldn't because if I'm not drinking alcohol I'd rather just have a coke,,
9/16/2021 13:14,9/16/2021 13:14,Survey Preview,,100,29,TRUE,9/16/2021 13:14,R_BM56xukrWAVp58B,,,,,50.86120605,-0.119400024,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2021 10:08,9/22/2021 10:09,Survey Preview,,100,47,TRUE,9/22/2021 10:09,R_AtD0anLK53RWkEh,,,,,50.86120605,-0.119400024,preview,EN,6666,No,No,No,Yes,No,No,No,No,3,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2021 13:48,9/29/2021 14:04,IP Address,139.184.165.14,100,957,TRUE,9/29/2021 14:04,R_2Y3BE0BF3UfvK9S,,,,,50.83439636,-0.185699463,anonymous,EN,3058,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,20,7,2,1-2 times per week,2-3 times per month,2-3 times per month,1-2 times per week,No,,worse than a regular beer,,,if i am driving,,
9/29/2021 13:48,9/29/2021 14:05,IP Address,139.184.128.132,100,1028,TRUE,9/29/2021 14:05,R_3qIt9oFUixOTImk,,,,,50.86120605,-0.119400024,anonymous,EN,5060,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,6,4.6,1-2 times per week,1-2 times per week,1 time per month or less,1-2 times per week,No,,about the same,,,doesnt have same effect as alcohol,,
10/4/2021 13:46,10/4/2021 14:01,IP Address,139.184.165.14,100,949,TRUE,10/4/2021 14:01,R_PtT5w8aFD1JLtv3,,,,,50.83439636,-0.185699463,anonymous,EN,6056,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,19,12,8,1-2 times per week,1-2 times per week,2-3 times per month,1-2 times per week,Yes,about the same,,1 time per month or less,1 time per month or less,It was the only beer that was available at the event,"It tastes very similar to certain alcoholic beers
",it isn't capable of getting you tipsy - if you're drinking socially
10/4/2021 13:46,10/4/2021 15:09,IP Address,139.184.128.132,100,4962,TRUE,10/4/2021 15:09,R_2aRix4u2cKfCuCA,,,,,50.86120605,-0.119400024,anonymous,EN,4057,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,43,6.9,2.3,1-2 times per week,2-3 times per month,1-2 times per week,1 time per month or less,Yes,worse than regular beer,,NEVER,1 time per month or less,I tried different brands when searching for a low alcohol alternative with my partner. I may also consume more if the taste of the low alcohol alternative is the same,"I tried one that was OK, it was as refreshing as regular beer without having to watch consumption.","Most had a strange after taste and didn't quite taste the same as the regular beer. The natural variation of flavours was also gone, it seemed to work marginally better on chilled lager type drinks"
10/5/2021 13:54,10/5/2021 14:08,IP Address,139.184.165.14,100,856,TRUE,10/5/2021 14:08,R_XXGqfTZB9HArHcl,,,,,50.83439636,-0.185699463,anonymous,EN,2059,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,8,3,2-3 times per month,1-2 times per week,1 time per month or less,1-2 times per week,No,,I don't have any expectations,,,if i would want to drink beer but do not want to be intoxicated,,
10/5/2021 13:54,10/5/2021 14:13,IP Address,139.184.128.132,100,1146,TRUE,10/5/2021 14:13,R_2tA6H8MDOYRMu6g,,,,,50.86120605,-0.119400024,anonymous,EN,6061,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,No,No,female,21,2.3,2.3,1 time per month or less,1 time per month or less,1-2 times per week,2-3 times per month,Yes,better than regular beer,,1 time per month or less,1 time per month or less,tastes better and because i didnt want the effects of drinking alcohol,tastes nicer,nothing
10/5/2021 14:39,10/5/2021 14:45,IP Address,139.184.165.14,100,386,TRUE,10/5/2021 14:45,R_2TZ4tJdn18pzQ9m,,,,,50.83439636,-0.185699463,anonymous,EN,6062,Yes,No,No,Yes,No,No,No,No,5,Yes,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,No,No,female,20,20,10,2-3 times per day,3-4 times per week,3-4 times per week,1 time per month or less,Yes,worse than regular beer,,NEVER,1 time per month or less,by accident,nothing,bad taste
10/6/2021 13:46,10/6/2021 14:01,IP Address,139.184.165.14,100,862,TRUE,10/6/2021 14:01,R_3PzpPPmlPOV29UM,,,,,50.83439636,-0.185699463,anonymous,EN,2063,Yes,No,No,Yes,No,No,No,No,2-Jan,Yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,,20,9,2-3 times per day,5-6 times per week,1-2 times per week,3-4 times per week,No,,about the same,,,Better non-alcoholic options most of the time. Flavour can be nice sometimes though usually pretty bad,,
10/6/2021 13:46,10/6/2021 14:30,IP Address,139.184.128.132,100,2664,TRUE,10/6/2021 14:30,R_2Tt1K8ioiZK30r9,,,,,50.86120605,-0.119400024,anonymous,EN,4064,Yes,No,No,Yes,No,No,No,No,0-5,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,20,20.9,6.9,3-4 times per week,1-2 times per week,1-2 times per week,1-2 times per week,Yes,worse than regular beer,,NEVER,NEVER,Because I was the designated driver,It tastes like beer without impairing your cognitive abilities,The flavour was different (milder) to that of regular beer
10/6/2021 14:26,10/6/2021 14:38,IP Address,139.184.165.14,100,734,TRUE,10/6/2021 14:38,R_2tnZcbnMuRzFOsl,,,,,50.83439636,-0.185699463,anonymous,EN,1065,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,31.5,21.5,1-2 times per week,1-2 times per week,2-3 times per month,1-2 times per week,Yes,about the same,,1 time per month or less,1 time per month or less,Took a break from drinking alcohol - non-alcoholic beer tastes the same ,The flavour ,Nothing to dislike 
10/6/2021 14:56,10/6/2021 15:02,IP Address,139.184.128.132,100,383,TRUE,10/6/2021 15:02,R_3hi5zB40JpHqQ8V,,,,,50.86120605,-0.119400024,anonymous,EN,5066,Yes,No,No,Yes,No,No,No,No,2,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,7,1,1-2 times per week,2-3 times per month,2-3 times per month,1-2 times per week,I don't remember,,worse than a regular beer,,,for the taste rather than to get intoxicated,,
10/6/2021 15:00,10/6/2021 15:09,IP Address,139.184.165.14,100,529,TRUE,10/6/2021 15:09,R_32Q1KiV7qhkgJlA,,,,,50.83439636,-0.185699463,anonymous,EN,6067,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,,4.6,0.5,2-3 times per month,2-3 times per month,1-2 times per week,1-2 times per week,No,,about the same,,,I would drink non alcoholic beer if I was not able to consume alcohol. ,,
10/7/2021 14:02,10/7/2021 14:10,IP Address,139.184.165.14,100,496,TRUE,10/7/2021 14:10,R_PA0KLLYdopyb25b,,,,,50.83439636,-0.185699463,anonymous,EN,3068,Yes,No,No,Yes,No,No,No,No,5-Mar,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,21.1,16.1,2-3 times per day,3-4 times per week,1-2 times per week,3-4 times per week,Yes,about the same,,NEVER,NEVER,I bought it by mistake,It tasted exactly the same as normal alcoholic beer,It had no alcohol and the packaging was too similar so its easy to buy it by mistake 
10/7/2021 14:07,10/7/2021 14:13,IP Address,139.184.128.132,100,354,TRUE,10/7/2021 14:13,R_3j2loFc5q4it8YK,,,,,50.86120605,-0.119400024,anonymous,EN,1069,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,5,1,2-3 times per month,1-2 times per week,1 time per month or less,1-2 times per week,Yes,I don't remember,,1 time per month or less,NEVER,to try it,had a similar taste to regular beer,didnt feel anything from it
10/7/2021 14:11,10/7/2021 14:15,IP Address,139.184.165.14,100,205,TRUE,10/7/2021 14:15,R_1lfvkpeLBphWzgg,,,,,50.83439636,-0.185699463,anonymous,EN,3068,Yes,No,No,Yes,No,No,No,No,5-Mar,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,21.1,16.1,2-3 times per day,3-4 times per week,1-2 times per week,3-4 times per week,Yes,about the same,,NEVER,NEVER,i bought it by mistake ,it tasted exactly the same,It has no alcohol in it
10/7/2021 14:42,10/7/2021 14:53,IP Address,139.184.128.132,100,621,TRUE,10/7/2021 14:53,R_3fotBcOg1CJGcwG,,,,,50.86120605,-0.119400024,anonymous,EN,4070,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,7,2,2-3 times per month,1 time per month or less,1 time per month or less,2-3 times per month,Yes,about the same,,NEVER,NEVER,if i don't want to be effected by alcohol but still want be involve in the social convention of drinking on an evening,it tastes similar to beer,nothing
10/7/2021 14:46,10/7/2021 15:08,IP Address,139.184.165.14,100,1307,TRUE,10/7/2021 15:08,R_2wmDlG1tc8Vfk6F,,,,,50.83439636,-0.185699463,anonymous,EN,2071,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,41,4.6,2.3,1-2 times per week,1-2 times per week,1 time per month or less,2-3 times per month,Yes,about the same,,1 time per month or less,1 time per month or less,Trying to replace the alcoholic beer with something healthier with the same flavour,It comes in different presentations and still keeps the real (or alcoholic) beer like flavour,Some non-alcoholic beer brands feel like the beer has more gas than the alcoholic one
10/8/2021 13:48,10/8/2021 14:07,IP Address,139.184.165.14,100,1159,TRUE,10/8/2021 14:07,R_UoUFm0e280up6tX,,,,,50.83439636,-0.185699463,anonymous,EN,1072,Yes,No,No,Yes,No,No,No,No,3-Feb,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,20,9,2.3,1-2 times per week,2-3 times per month,3-4 times per week,1-2 times per week,No,,about the same,,,never see it as an option when drinking,,
10/8/2021 13:48,10/8/2021 14:36,IP Address,139.184.128.132,100,2894,TRUE,10/8/2021 14:36,R_2Ubk9PG1ibpeAqY,,,,,50.86120605,-0.119400024,anonymous,EN,1073,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,23,3,2.3,2-3 times per month,2-3 times per month,2-3 times per month,1 time per month or less,Yes,about the same,,NEVER,1 time per month or less,I wanted to try it ,it tastes kind of the same ,alcoholic beer is better 
10/8/2021 14:36,10/8/2021 14:54,IP Address,139.184.165.14,100,1081,TRUE,10/8/2021 14:54,R_9XZ1jgMNwSR15Xb,,,,,50.83439636,-0.185699463,anonymous,EN,1074,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,5,1.6,1-2 times per week,2-3 times per month,1 time per month or less,2-3 times per month,Yes,better than regular beer,,1 time per month or less,1 time per month or less,"No particular reason, just available at family gatherings.",Can enjoy the flavour of beer without any alcoholic content.,Was quite bitter.
10/11/2021 12:20,10/11/2021 14:18,IP Address,139.184.165.14,100,7113,TRUE,10/11/2021 14:18,R_3rU0trkAny2XBrA,,,,,50.83439636,-0.185699463,anonymous,EN,1075,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,Yes,No,non-binary,18,2.3,2.3,1-2 times per week,1-2 times per week,NEVER,1 time per month or less,No,,I don't have any expectations,,,for the taste,,
10/12/2021 13:43,10/12/2021 14:09,IP Address,139.184.165.14,100,1558,TRUE,10/12/2021 14:09,R_3MuuNzcS6Mw5kXM,,,,,50.83439636,-0.185699463,anonymous,EN,4076,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,28,4.6,4.6,3-4 times per week,1-2 times per week,2-3 times per month,2-3 times per month,Yes,worse than regular beer,,NEVER,NEVER,"Because I have travelled to Islamic countries where alcohol is not as easy to buy, or because I went to restaurants or places where they don't sell alcohol. ",The texture being similar to the alcoholic beer.,The taste/ flavour.
10/12/2021 13:43,10/12/2021 14:24,IP Address,139.184.128.132,100,2454,TRUE,10/12/2021 14:24,R_1CKi778dgivoPXw,,,,,50.86120605,-0.119400024,anonymous,EN,5077,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,7,2.3,1-2 times per week,2-3 times per month,1 time per month or less,3-4 times per week,Yes,better than regular beer,,2-3 times per month,1 time per month or less,"During family events, I would drink non-alcoholic beer. Also, when I'm out with my friends, sometimes I make sure that I am sober to take care of the rest of my group. ","I like the taste of non-alcoholic beer in comparison to normal beer. Also, in a social atmosphere where everyone is drinking, it's better than drinking water. ","Rather than the taste, sometimes I don't like how people react to me drinking non-alcoholic beer."
10/13/2021 13:24,10/13/2021 14:10,IP Address,139.184.165.14,100,2746,TRUE,10/13/2021 14:10,R_rdnryYwxXdWQfiV,,,,,50.83439636,-0.185699463,anonymous,EN,5078,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,11.6,4.6,1-2 times per week,2-3 times per month,1 time per month or less,2-3 times per month,Yes,worse than regular beer,,1 time per month or less,NEVER,"just to try the taste, my boyfriend drinks it because he tries not to drink 'too much'",some have  a nice flavour like regular beer,it doesnt get you drunk
10/13/2021 13:25,10/13/2021 14:16,IP Address,139.184.128.132,100,3027,TRUE,10/13/2021 14:16,R_3jSUEAzCh6O2mFz,,,,,50.86120605,-0.119400024,anonymous,EN,1079,Yes,No,No,Yes,No,No,No,No,4,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,19,10,2.3,3-4 times per week,1-2 times per week,NEVER,1-2 times per week,Yes,worse than regular beer,,NEVER,NEVER,curious to try it,it taste similar to beer,the taste wasn't worth the lack of alcohol
10/13/2021 13:29,10/13/2021 14:26,IP Address,139.184.165.208,100,3407,TRUE,10/13/2021 14:26,R_324LvDIZcd2FOGA,,,,,50.83439636,-0.185699463,anonymous,EN,1082,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,No,No,male,20,18,9.2,3-4 times per week,1-2 times per week,1-2 times per week,3-4 times per week,No,,worse than a regular beer,,,So I could still drive and drink beer,,
10/13/2021 13:28,10/13/2021 14:41,IP Address,139.184.165.19,100,4361,TRUE,10/13/2021 14:41,R_1f0JivW9LiyoVRh,,,,,50.83439636,-0.185699463,anonymous,EN,5081,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,25,6,5,1-2 times per week,1-2 times per week,1 time per month or less,1-2 times per week,Yes,about the same,,1 time per month or less,1 time per month or less,"Sometimes I want to drink socially without getting drunk, so I use alcohol free on these occasions","Tastes pretty much the same as regular beer dependant on the brand, but it doesn't get you drunk",Some brands of non-alcoholic beer taste slightly worse than their alcoholic counterparts
10/13/2021 13:27,10/13/2021 14:48,IP Address,139.184.164.24,100,4835,TRUE,10/13/2021 14:48,R_8e8KK3LDzyb36rT,,,,,50.83439636,-0.185699463,anonymous,EN,6080,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,5,2,1-2 times per week,2-3 times per month,2-3 times per month,2-3 times per month,No,,worse than a regular beer,,,if you enjoy the taste of beer but do not want to get drunk.,,
10/14/2021 13:33,10/14/2021 14:18,IP Address,139.184.165.14,100,2730,TRUE,10/14/2021 14:18,R_80Q8DXU0dNrQSXv,,,,,50.83439636,-0.185699463,anonymous,EN,3083,Yes,No,No,Yes,No,No,No,No,none,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,18,5,1,2-3 times per month,2-3 times per month,2-3 times per month,2-3 times per month,Yes,worse than regular beer,,1 time per month or less,NEVER,To see how it tastes,Seemed like a good idea for those trying to reduce their beer/alcohol consumption.,I didnt like the taste.
10/15/2021 12:50,10/15/2021 14:14,IP Address,139.184.128.132,100,5067,TRUE,10/15/2021 14:14,R_1fjChdHZ6piHffw,,,,,50.86120605,-0.119400024,anonymous,EN,5084,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,10,2,1-2 times per week,2-3 times per month,1-2 times per week,3-4 times per week,Yes,worse than regular beer,,NEVER,NEVER,"I had a non-alcoholic beer at a family event more than a year ago, but as I was driving I couldn't have an alcoholic beer.","It was fizzy and cool, was very refreshing.","Had an off taste, you could tell it was non-alcohol as it was missing some flavour."
10/18/2021 13:23,10/18/2021 14:08,IP Address,139.184.165.14,100,2657,TRUE,10/18/2021 14:08,R_3EoFRJDwtbiEfb0,,,,,50.83450317,-0.186004639,anonymous,EN,2086,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,No,No,female,20,3,2,1-2 times per week,2-3 times per month,2-3 times per month,1-2 times per week,Yes,worse than regular beer,,1 time per month or less,NEVER,If I had to drive or if it was a bit too early in the day to be drinking,"The initial taste is nice, but the aftertaste is a bit more watery that alcoholic beer. Nice to get the taste but not get drunk. ",The watery aftertaste
10/18/2021 13:24,10/18/2021 14:13,IP Address,139.184.128.132,100,2942,TRUE,10/18/2021 14:13,R_3hbB3MioA7lsonR,,,,,50.86120605,-0.119400024,anonymous,EN,2085,Yes,No,No,Yes,No,No,No,No,3,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,male,22,12,12,3-4 times per week,1-2 times per week,2-3 times per month,2-3 times per month,Yes,about the same,,NEVER,NEVER,"When going out with a person who was sober, I decided to stick to non alcoholic beer for the evening.",It creates an opportunity for people who choose to be sober to not feel left out in pub/club settings.,Often I drink beer prior to club nights and events to get tipsy/drunk. In only drinking non-alcoholic beer I wouldn't be able to do this.
10/18/2021 13:27,10/18/2021 14:59,IP Address,139.184.165.208,100,5518,TRUE,10/18/2021 14:59,R_4IA3c3TdAs3LExr,,,,,50.83450317,-0.186004639,anonymous,EN,1087,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,No,No,male,22,4.6,2.3,2-3 times per month,2-3 times per month,1 time per month or less,NEVER,Yes,I don't remember,,NEVER,NEVER,Just to try and see what it tastes like or/and if I am among friends or with a friend who are/is drinking non-alcoholic beer I,"It was nice to have a cold drink, but apart from that I don't particularly like taste of non-alcoholic beer, or beer in general.  ",The taste.
10/20/2021 14:05,10/20/2021 14:18,IP Address,139.184.165.14,100,780,TRUE,10/20/2021 14:18,R_tF0GCiq7xeOQBGN,,,,,50.83450317,-0.186004639,anonymous,EN,3088,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,female,19,2.3,2.3,2-3 times per month,2-3 times per month,1 time per month or less,1 time per month or less,No,,about the same,,,I would drink non-alcoholic beer only for it's taste.,,
10/20/2021 14:10,10/20/2021 14:22,IP Address,139.184.164.24,100,720,TRUE,10/20/2021 14:22,R_Xv8R7gioRtiGvmN,,,,,50.83450317,-0.186004639,anonymous,EN,4090,Yes,No,No,Yes,No,No,No,No,0,Yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,No,No,non-binary,18,10,2.3,3-4 times per week,1 time per month or less,1-2 times per week,1-2 times per week,I don't remember,,about the same,,,either to have a drink that tastes similar to beer or to be seen drinking an alcoholic drink with friends when it actually isn't. ,,
